,aveMean,aveSal,coordinates,image,label,maxMean,maxSal,medDepth,medMean,medSal,minMean,minSal,obj_size,stdMean,stdSal,occluded
1574,4.538068075,0.437666109,"[[131.8, 459.0], [156.64, 472.62], [172.7, 482.02], [193.46, 498.87], [204.04, 500.43], [222.84, 467.53], [233.8, 457.74], [254.17, 446.77], [261.22, 442.46], [261.22, 430.71], [210.7, 406.4], [187.9, 427.5], [177.7, 426.4], [159.1, 411.0], [144.2, 406.5], [131.8, 459.0]]",target_garden,flowers,4.904082105,0.542149247,0.29803923,4.538068075,0.437666109,4.043806863,0.38420604,0.009082794,0.217172757,0.031753209,1
1575,4.37870529,0.592987096,"[[245.19, 431.09], [265.86, 421.84], [281.64, 420.48], [296.6, 425.92], [316.19, 441.42], [327.61, 448.22], [336.86, 467.26], [364.03, 472.16], [346.43, 489.35], [326.88, 507.87], [233.55, 502.71], [234.23, 467.81], [240.11, 441.07], [245.19, 431.09]]",target_garden,plant,4.549344267,0.840253171,0.25882354,4.37870529,0.592987096,4.14325743,0.431917254,0.010052999,0.089655515,0.101297568,1
1576,3.972093636,0.338553369,"[[173.4, 341.1], [159.13, 281.5], [140.2, 276.93], [101.68, 274.65], [89.93, 272.36], [87.97, 201.85], [86.7, 143.39], [101.38, 138.24], [146.27, 132.79], [192.26, 136.6], [220.82, 139.87], [249.64, 149.4], [274.38, 159.71], [276.02, 164.35], [275.2, 177.96], [274.12, 202.44], [268.15, 207.6], [271.12, 285.03], [265.9, 287.31], [256.76, 287.96], [216.94, 278.82], [208.12, 312.12], [197.94, 339.83], [173.4, 341.1]]",target_garden,tree,4.615719923,0.489937482,0.74509805,3.972093636,0.338553369,3.330419395,0.171746178,0.036434174,0.312760404,0.06228541,1
1577,4.331756869,0.550027261,"[[557.61, 322.56], [548.8, 303.96], [518.12, 297.43], [511.26, 292.53], [512.9, 271.97], [523.01, 247.49], [539.01, 228.23], [571.32, 223.99], [591.56, 227.9], [602.33, 239.33], [609.19, 251.73], [612.13, 266.09], [611.47, 276.21], [591.24, 275.89], [576.87, 276.54], [570.34, 282.09], [565.12, 321.91], [557.61, 322.56]]",target_garden,tree,4.652319907,0.644781899,0.8235294,4.331756869,0.550027261,3.897243056,0.472291984,0.007623037,0.180821593,0.053004456,0
1578,3.526050398,0.142499537,"[[0.0, 46.2], [19.65, 49.49], [36.05, 59.37], [43.15, 71.12], [45.45, 88.98], [61.95, 90.86], [56.78, 57.02], [74.64, 51.38], [98.1, 45.26], [103.27, 47.14], [106.09, 60.31], [109.38, 79.11], [101.39, 101.67], [87.76, 108.25], [81.22, 140.68], [105.66, 139.74], [114.13, 169.35], [140.87, 177.35], [160.14, 178.29], [178.99, 178.29], [178.99, 205.08], [176.64, 217.3], [168.65, 228.58], [136.55, 430.88], [149.99, 435.21], [156.85, 439.48], [162.4, 454.81], [169.54, 471.45], [164.0, 496.92], [158.45, 529.54], [155.86, 540.97], [153.56, 562.87], [153.28, 595.58], [137.39, 612.65], [123.9, 707.59], [101.34, 726.11], [53.35, 748.91], [14.85, 758.41], [0.0, 760.4], [0.0, 46.2]]",target_garden,flowers,4.76324891,0.460375378,0.14509805,3.526050398,0.142499537,1.502356301,0.001225429,0.124557495,0.711625652,0.12039557,0
1579,3.785936912,0.328882847,"[[336.41, 552.05], [435.39, 552.24], [414.23, 604.94], [353.33, 768.0], [141.16, 768.0], [329.13, 551.45], [336.41, 552.05]]",target_garden,water,4.447255497,0.946394086,0.02745098,3.785936912,0.328882847,3.000445222,0.017876731,0.043891907,0.284036703,0.285314004,1
1580,3.913143302,0.273331652,"[[639.23, 545.95], [737.81, 545.5], [881.25, 699.77], [945.51, 768.0], [754.43, 768.0], [655.37, 576.98], [639.23, 545.95]]",target_garden,water,4.597902622,0.857464305,0.003921569,3.913143302,0.273331652,3.268936283,0.01029124,0.041219076,0.304866081,0.221513042,1
1581,4.283434207,0.300390353,"[[744.03, 768.0], [752.26, 754.37], [769.49, 737.92], [773.02, 735.96], [769.88, 648.65], [763.61, 586.33], [759.31, 578.62], [758.37, 568.98], [758.52, 559.93], [782.73, 557.46], [782.73, 547.83], [774.97, 528.75], [767.6, 520.6], [758.8, 511.2], [785.35, 501.37], [840.78, 504.43], [831.65, 493.66], [829.38, 484.84], [829.03, 474.07], [840.15, 462.32], [853.2, 462.01], [859.38, 466.24], [860.25, 482.81], [856.17, 497.93], [849.24, 506.27], [849.44, 532.67], [858.88, 535.57], [864.63, 540.31], [865.69, 519.43], [871.72, 518.65], [883.79, 519.16], [888.37, 533.22], [889.04, 540.15], [895.73, 537.41], [903.88, 538.7], [908.97, 543.17], [912.26, 556.33], [917.79, 555.47], [927.03, 556.21], [932.44, 562.44], [934.0, 567.73], [933.89, 581.04], [931.54, 589.15], [923.74, 595.62], [920.65, 678.3], [926.09, 678.73], [933.89, 655.43], [936.04, 655.27], [937.49, 661.73], [932.87, 681.48], [927.5, 722.02], [939.84, 716.49], [941.64, 719.86], [924.37, 743.25], [938.08, 757.86], [947.32, 759.03], [951.47, 768.0], [744.03, 768.0]]",target_garden,flowers,4.922087168,0.730480526,0.039215688,4.283434207,0.300390353,3.268936283,0.009128973,0.052848816,0.328886086,0.214322757,0
1582,4.377734224,0.824805636,"[[356.17, 582.22], [389.98, 581.84], [399.61, 574.85], [397.91, 562.57], [390.55, 558.23], [382.05, 544.25], [385.82, 526.87], [391.11, 507.98], [403.71, 482.63], [405.11, 465.24], [404.56, 457.09], [409.36, 453.3], [412.25, 451.79], [413.36, 450.39], [412.02, 446.04], [405.45, 442.59], [400.44, 442.59], [376.59, 442.08], [371.41, 442.08], [365.54, 441.21], [365.54, 445.36], [368.46, 448.29], [367.25, 459.53], [366.74, 474.04], [372.62, 480.25], [367.78, 488.55], [368.29, 521.21], [370.11, 550.62], [364.48, 550.75], [360.87, 555.64], [349.0, 569.3], [348.6, 582.2], [356.17, 582.22]]",target_garden,statue,4.820746697,0.964075835,0.29803923,4.377734224,0.824805636,3.683304537,0.568007031,0.005705516,0.287154303,0.104505559,1
1583,4.717118747,0.657096122,"[[331.4, 420.87], [339.02, 414.13], [343.66, 411.71], [346.97, 412.75], [360.79, 417.59], [359.06, 400.14], [358.87, 396.85], [361.46, 395.12], [370.45, 391.84], [376.5, 391.32], [385.15, 392.19], [391.89, 393.74], [398.44, 398.41], [403.97, 407.05], [406.41, 416.9], [404.16, 450.42], [401.4, 469.6], [377.71, 469.95], [369.41, 469.6], [357.33, 462.34], [347.48, 463.55], [337.29, 463.73], [332.28, 460.44], [330.36, 448.0], [320.86, 445.06], [315.33, 442.82], [313.25, 438.67], [312.73, 432.79], [315.5, 429.86], [321.22, 425.36], [331.4, 420.87]]",target_garden,flowers,5.055698012,0.791371618,0.34117648,4.717118747,0.657096122,4.284156998,0.528896461,0.006600698,0.191919992,0.054952576,1
